52,52,52,52,52,52,52,52
0,0,109,109,0,0,0,109
0,0,0,0,0,0,0,0
109,109,109,109,109,109,109,109
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
109,109,109,109,109,109,109,109
1,1,1,1,1,1,1,1
109,109,109,109,109,109,109,109
109,109,109,109,109,109,109,109
109,109,109,109,109,109,109,109
109,109,109,109,109,109,109,109
0,0,0,0,0,0,0,0
110,110,110,110,110,110,110,110
110,110,110,110,110,110,110,110
109,109,109,109,109,109,109,109
109,109,109,109,109,109,109,109
67,67,67,67,67,67,67,67
109,109,109,109,109,109,109,109
32,32,32,32,32,32,32,32
109,109,109,109,109,109,109,109
109,109,109,109,109,109,109,109
5,0,0,0,5,0,0,0
47,47,47,47,47,47,47,47
109,109,48,48,109,109,109,48
109,109,109,109,109,109,109,38
109,0,109,109,109,0,0,109
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
14,109,109,109,109,109,109,109
17,19,19,19,17,19,17,19
109,109,109,109,109,109,109,109
84,90,90,90,90,90,90,80
0,0,0,0,0,0,0,0
109,109,109,109,109,109,109,109
110,110,110,110,110,110,110,110
0,0,14,14,0,14,0,14
22,22,22,22,22,22,22,22
109,63,63,63,109,63,109,63
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
109,109,109,109,109,109,109,109
68,68,68,68,68,68,68,68
109,109,109,109,109,109,109,109
109,109,109,109,109,109,109,109
54,0,0,0,54,0,0,0
0,0,0,0,0,0,0,0
6,6,6,6,6,6,6,6
1,1,1,1,1,1,1,1
45,45,45,45,45,45,45,45
34,34,34,34,34,34,34,34
32,32,32,32,32,32,32,32
109,109,109,109,109,109,109,109
0,0,0,0,0,0,0,0
110,110,110,110,110,110,110,110
109,109,109,109,109,109,109,109
24,24,24,24,24,24,24,24
43,43,43,43,43,43,43,43
110,110,110,110,110,110,110,110
110,110,110,110,110,110,110,110
55,55,55,55,55,55,55,55
109,109,109,109,109,109,109,109
0,0,0,0,0,0,0,0
88,88,88,88,88,88,88,88
0,109,109,109,109,109,109,109
109,109,109,109,109,109,109,109
109,34,34,34,109,34,109,34
80,80,80,80,80,80,80,80
109,109,109,109,109,109,109,109
87,87,87,87,87,87,87,87
98,98,98,98,98,98,98,98
4,4,0,0,4,4,4,0
109,109,109,109,109,109,109,109
0,0,0,0,0,0,0,0
78,78,78,78,78,78,78,78
109,109,109,109,109,109,109,109
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
110,110,110,110,110,110,110,110
35,35,35,35,35,35,35,35
109,109,109,109,109,109,109,109
0,0,0,30,0,0,0,30
0,0,0,0,0,0,0,0
110,110,110,110,110,110,110,110
109,109,109,109,109,109,109,109
82,82,82,82,82,82,82,82
79,79,79,79,79,79,79,79
18,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
36,36,36,36,36,36,36,36
109,109,109,109,109,109,109,109
109,109,109,109,109,109,109,109
10,10,0,0,10,10,10,0
6,6,6,6,6,6,6,6
110,110,110,110,110,110,110,110
0,0,0,0,0,0,0,0
0,109,109,109,0,109,109,109
64,64,75,75,64,75,64,75
109,109,109,109,109,109,109,109
109,109,109,109,109,109,109,109
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,40,40,0,0,0,40
42,33,33,33,42,33,42,33
109,109,109,109,109,109,109,109
110,110,110,110,110,110,110,110
109,109,109,109,109,109,109,109
39,39,39,39,39,39,39,39
49,17,17,17,49,17,17,17
19,19,19,11,19,19,19,11
109,109,109,109,109,109,109,109
109,109,109,109,109,109,109,109
110,110,110,110,110,110,110,110
44,17,17,17,44,17,17,17
109,56,56,56,109,56,109,56
14,14,14,14,14,14,14,14
11,29,37,37,11,37,11,37
110,110,110,110,110,110,110,110
109,109,109,109,109,109,109,109
110,110,110,110,110,110,110,110
109,109,109,109,109,109,109,109
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
68,68,68,68,68,68,68,68
0,0,0,0,0,0,0,0
54,54,54,54,54,54,54,95
0,0,0,0,0,0,0,0
109,109,109,109,109,109,109,39
109,35,35,35,109,35,109,35
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
109,109,109,109,109,109,109,109
109,109,109,109,109,109,109,109
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
10,10,10,10,10,10,10,10
109,109,109,109,109,109,109,109
109,24,109,109,109,109,24,109
109,109,109,109,109,109,109,109
109,109,0,0,109,0,109,0
109,109,110,110,109,110,109,110
110,110,110,110,110,110,110,110
110,110,110,110,110,110,110,110
109,109,109,109,109,109,109,109
109,109,109,109,109,109,109,109
35,35,35,35,35,35,35,35
110,110,110,110,110,110,110,110
94,94,94,94,94,94,94,94
0,0,0,0,0,0,0,0
0,109,41,41,35,41,35,41
22,22,22,22,22,22,22,22
109,109,109,109,109,109,109,109
109,109,109,109,109,109,109,109
109,98,98,98,98,98,98,109
109,109,109,109,109,109,109,109
0,0,0,0,0,0,0,0
91,91,22,22,91,91,91,22
90,90,90,90,90,90,90,90
13,109,109,109,13,109,109,109
109,109,109,109,109,109,109,109
110,110,110,110,110,110,110,110
17,2,2,2,2,2,2,2
4,4,4,4,4,4,4,4
109,109,109,109,109,109,109,109
109,109,109,109,109,109,109,109
109,109,109,109,109,109,109,109
45,109,109,109,109,109,109,109
0,0,0,0,0,0,0,0
109,109,109,109,109,109,109,109
110,110,110,110,110,110,110,110
110,110,110,110,110,110,110,110
109,109,109,109,109,109,109,109
0,92,92,92,0,92,0,92
39,0,0,0,0,0,0,0
43,43,43,43,43,43,43,43
0,0,0,0,0,0,0,72
39,84,66,66,39,66,84,66
109,109,109,109,109,109,109,28
109,0,0,0,109,0,0,0
2,2,2,2,2,2,2,2
18,18,18,18,18,18,18,18
82,82,82,82,82,82,82,82
109,109,109,109,109,109,109,109
109,109,109,109,109,109,109,109
109,109,109,109,109,109,109,109
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,109
0,0,0,0,0,0,0,0
109,109,109,109,109,109,109,109
110,110,110,110,110,110,110,110
109,109,109,109,109,109,109,109
109,109,109,109,109,109,109,109
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
110,110,110,110,110,110,110,110
77,77,77,109,77,77,77,109
89,89,89,89,89,89,89,89
80,80,80,80,80,80,80,80
109,109,109,109,109,109,109,109
0,0,0,0,0,0,0,0
0,30,30,30,30,30,30,30
109,109,109,109,109,109,109,109
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,109,109,109,109,109,109,109
110,110,110,110,110,110,110,110
110,110,110,110,110,110,110,110
73,73,73,109,73,73,73,109
3,3,3,0,3,3,3,0
110,110,110,110,110,110,110,110
0,0,0,0,0,0,0,0
109,109,109,109,109,109,109,109
54,54,54,54,54,54,54,54
109,109,109,109,109,109,109,109
69,69,69,69,69,69,69,69
0,0,68,68,0,0,0,68
109,109,109,109,109,109,109,109
109,109,109,109,109,109,109,109
109,109,109,109,109,109,109,109
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
77,77,77,77,77,77,77,18
109,109,109,109,109,109,109,109
35,35,35,35,35,35,35,35
109,109,109,109,109,109,109,109
110,110,110,110,110,110,110,110
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
110,110,110,110,110,110,110,110
110,110,110,110,110,110,110,110
110,110,110,110,110,110,110,110
20,20,109,109,20,109,20,109
77,77,77,77,77,77,77,77
110,110,110,110,110,110,110,110
109,109,109,109,109,109,109,109
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,60
63,63,2,2,63,63,63,2
50,50,50,50,50,50,50,50
94,94,94,94,94,94,94,94
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
109,109,109,109,109,109,109,109
60,60,60,60,60,60,60,60
109,109,109,109,109,109,109,109
109,4,4,4,109,4,109,4
11,11,11,11,11,11,11,11
110,110,110,110,110,110,110,110
20,21,0,0,20,21,20,0
110,110,110,110,110,110,110,110
0,0,0,0,0,0,0,0
109,109,109,109,109,109,109,109
109,109,109,109,109,109,109,109
109,0,0,0,0,0,0,0
74,17,17,17,17,17,17,17
76,76,0,0,76,76,76,0
109,109,0,0,109,35,109,0
42,42,42,42,42,42,42,42
109,109,109,109,109,109,109,109
76,76,76,76,76,76,76,76
109,109,109,109,109,109,109,109
109,109,109,109,109,109,109,109
109,109,109,109,109,109,109,109
77,77,77,77,77,77,77,77
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
