109,109,109,109,109,109,109,109,109,109,97,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,85,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,93,109,109,109,109,109,109,109,109,109,109,109,109,109,109,97
109,109,109,109,109,109,109,109,109,94,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,88,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109
0,109,0,109,0,0,0,0,22,0,0,21,0,0,14,22,0,22,0,0,109,0,21,0,0,22,23,109,20,27,0,109,109,0,109,0,109,0,0,0,0,0,20,0,109,0,0,0,0,0,0,23,0,42,0,109,0,24,0,28,0,0,0,0,0,0,0,0,0,0,0,22,0,26,0,109,0,0,32,21,22,22,0,0,0,109,0,30,0,0,20,0,0,0,109,0,21,0,23,0
6,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,26,0,0,11,109,0,13,0,21,0,43,27,0,0,109,0,0,0,0,109,0,109,0,0,0,0,0,0,0,0,0,14,0,21,0,0,0,0,0,0,0,0,0,23,0,0,0,25,22,0,0,0,0,28,31,0,0,0,0,21,0,23,0,22,21,0,0,0,0,24,0,0,0,20,0,0,20,27,0,0,0,0,0
18,0,37,0,0,0,0,0,0,21,0,0,109,0,0,109,23,80,109,0,19,0,26,0,21,0,0,0,0,0,20,0,109,22,109,0,109,0,109,27,20,24,0,22,30,23,109,0,21,20,25,0,22,0,26,109,0,109,23,22,109,0,26,24,23,20,0,78,109,109,109,0,0,16,0,0,36,26,23,0,0,109,0,20,109,0,109,0,109,25,22,0,27,22,109,109,20,0,109,0
21,20,23,25,28,109,109,80,109,109,14,22,109,21,23,0,0,0,8,8,26,7,18,24,0,21,0,109,25,21,109,66,0,109,109,0,109,22,0,7,0,109,109,21,21,0,24,0,28,22,20,109,20,21,15,0,109,0,34,0,0,21,28,20,0,28,0,109,26,0,13,109,23,25,30,109,0,24,26,23,30,109,109,23,109,109,23,28,25,15,0,109,25,13,23,24,21,20,51,15
109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,65,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,44,109,109,109,109,109,109,109,109,109,109,50,109,76,109,109,39,109,109,109,109,109,109,109,109,109,98,37,109,109,45,109,109,109,109,109,109,109,109,109,109,109,91,109,109,109,109,109,109,39,109,109,109,109,109,109,91,109,109,109,109
109,83,109,109,109,109,109,109,109,109,109,109,103,109,109,109,109,109,109,109,96,109,109,109,109,109,109,109,109,109,109,109,109,109,109,92,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,78,72,109,109,109,109,109,75,109,109,109,109,109,109,109,109,109,109,109,109,109,75,109,109,109,109
110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110
109,109,109,109,20,0,109,109,0,109,1,0,0,0,109,0,0,0,109,0,20,109,0,109,109,109,109,109,109,109,109,109,109,109,109,109,109,14,109,0,20,109,0,109,0,0,109,109,109,0,0,109,0,109,20,109,0,109,109,109,0,109,109,0,0,109,0,109,0,109,109,109,109,109,109,0,109,0,109,4,109,0,0,109,16,109,109,0,109,109,0,109,109,20,0,109,109,109,0,1
0,0,0,109,0,105,109,0,0,0,0,109,0,0,0,109,0,0,0,0,109,109,0,0,0,0,0,109,0,109,0,0,109,0,0,0,0,0,0,0,0,109,0,0,109,0,0,58,0,0,0,109,109,0,0,0,0,0,0,0,0,0,109,25,0,0,0,0,0,0,0,0,0,0,0,106,0,0,0,109,109,0,0,0,0,109,109,109,0,0,0,0,0,0,109,0,0,0,0,0
109,0,109,109,11,0,0,0,0,0,79,109,0,109,109,109,0,0,0,109,0,109,109,109,109,0,0,0,0,0,0,23,0,0,0,0,109,0,0,0,0,0,0,56,4,0,0,0,109,109,0,0,0,109,0,0,109,109,0,0,0,0,0,0,0,109,0,0,0,0,72,109,0,0,109,0,0,109,109,0,0,0,0,0,109,0,0,0,0,0,109,0,109,0,0,0,0,16,0,79
109,56,109,109,0,109,0,109,109,0,109,109,0,109,109,109,0,109,0,0,0,0,0,9,0,109,0,109,109,0,109,0,109,0,0,109,0,109,109,109,0,0,0,109,0,0,0,109,0,16,0,34,43,109,73,109,109,0,0,109,0,109,0,0,0,109,0,109,109,0,109,109,109,109,0,0,109,109,0,109,109,109,0,109,109,0,109,109,109,0,0,0,0,109,109,109,109,109,109,109
109,109,109,109,10,109,109,109,109,0,109,109,90,109,0,0,109,109,109,109,109,109,109,109,109,109,109,109,0,109,109,0,109,109,0,84,0,109,0,109,109,109,0,0,19,109,109,109,109,109,0,109,109,109,0,109,109,0,0,0,109,109,109,99,0,4,109,109,0,109,109,23,109,109,109,25,109,0,109,109,0,0,109,109,109,109,109,109,109,0,109,109,109,109,25,0,109,0,109,109
109,109,109,109,109,109,109,109,109,109,90,0,109,109,109,0,0,0,0,0,109,109,109,103,56,109,0,5,109,109,24,109,109,109,109,53,0,0,109,109,109,64,53,50,109,109,13,109,0,103,0,109,109,109,90,53,109,109,109,109,109,109,5,12,109,43,22,109,109,0,109,109,31,109,109,20,0,109,109,0,55,109,109,109,109,109,109,109,53,109,31,109,109,56,60,109,109,109,109,90
0,109,7,100,109,109,0,0,109,0,109,109,0,109,53,109,109,0,109,109,109,0,109,109,109,109,0,5,0,109,109,25,0,109,109,56,109,83,109,9,18,109,56,109,109,46,109,0,109,16,109,109,109,109,109,56,35,109,0,109,109,0,18,0,109,109,0,109,109,0,109,109,18,109,109,21,109,109,109,109,109,109,109,89,109,109,109,109,56,53,109,109,109,0,21,109,109,109,0,109
109,0,0,0,0,8,0,109,109,0,109,0,109,109,109,109,0,109,109,109,109,109,0,0,0,109,109,0,109,0,109,0,0,109,109,57,0,0,109,109,109,0,109,0,109,109,0,109,109,61,109,109,109,0,109,0,14,109,96,0,21,109,109,26,0,109,0,0,109,109,71,109,109,109,109,0,109,109,109,0,109,0,109,91,109,109,109,0,0,109,20,0,0,0,0,0,0,109,109,109
109,109,109,109,109,109,109,109,109,109,109,109,88,109,109,109,57,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,74,109,109,109,109,109,109,109,109,109,109,109,109,109,86,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109
109,109,109,109,109,109,109,109,62,109,109,109,109,109,109,109,71,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,100,109,109,62,109,109,109,109,109,79,109,109,109,109,109,74,109,109,109,109,109,100,109,109,83,109,85,109,109,109,109,109,109,96,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109
0,109,109,109,109,109,83,19,109,109,73,109,50,109,109,109,109,5,0,0,109,109,109,24,83,109,109,109,109,109,109,109,109,0,59,109,109,109,109,109,109,109,109,109,109,109,109,109,109,69,109,109,109,109,73,50,109,0,109,109,109,109,109,109,109,109,26,0,109,109,109,109,109,109,109,31,109,109,109,109,79,109,109,109,109,109,109,109,50,109,109,109,109,0,31,109,109,109,0,73
109,109,109,109,109,109,109,109,109,109,109,97,109,109,109,109,109,109,109,68,67,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,96,109,109,109,109,109,109,109,109,109,109,109,109
109,109,109,109,0,109,0,0,0,109,109,109,0,0,0,109,0,0,0,0,0,0,0,0,0,0,109,109,109,0,0,109,0,109,0,0,0,0,0,0,0,109,0,10,0,0,0,0,109,0,0,0,0,0,0,109,0,109,109,109,0,109,83,109,109,109,0,109,109,0,0,0,0,109,40,109,109,109,0,0,109,0,0,109,25,109,109,0,0,0,0,0,109,0,109,0,0,109,0,109
109,109,109,109,109,109,0,109,109,109,109,109,0,11,109,109,109,109,109,0,109,0,28,109,109,109,109,109,109,55,109,41,109,109,0,109,109,109,109,109,0,109,0,0,0,0,109,109,0,0,109,109,109,0,31,109,109,109,109,109,109,109,0,8,109,109,109,0,109,109,109,109,109,109,0,109,109,109,0,109,0,109,109,109,109,109,109,109,109,109,109,109,109,109,109,55,109,109,109,109
0,77,0,0,0,17,109,0,109,109,4,109,109,109,109,0,0,0,109,0,0,109,109,109,0,0,0,109,109,0,109,0,0,0,0,0,0,109,0,109,0,0,0,0,0,109,0,0,0,0,0,0,109,109,109,109,0,109,6,109,0,0,109,0,0,0,109,0,0,0,0,0,0,0,0,109,0,23,0,0,109,0,0,109,0,0,0,0,109,0,109,0,0,0,0,0,109,0,0,4
